,cui,semtyp,Name
98,C1706339,Gene or Genome,GNAS wt Allele
99,C0700320,Laboratory Procedure,Sectioning technique
100,C0023607,"Amino Acid, Peptide, or Protein",luteinizing hormone
101,C0019829,Neoplastic Process,Hodgkin Disease
102,C0439603,Temporal Concept,Frequencies (time pattern)
103,C0441766,Classification,Stage level 1
104,C0441767,Intellectual Product,Stage level 2
105,C0205154,Spatial Concept,Along edge (qualifier value)
106,C1882071,Functional Concept,Network
107,C4054723,Conceptual Entity,Influence
108,C0012222,Natural Phenomenon or Process,Diffusion
109,C0033204,Quantitative Concept,Probability
110,C0009450,Disease or Syndrome,Communicable Diseases
111,C0746922,"Body Part, Organ, or Organ Component",Anatomic Node
112,C0024500,Educational Activity,"Mainstreaming, Education"
113,C0524527,Research Activity,Drug Formulation Process
114,C0552449,Conceptual Entity,Equation
115,C0600644,Intellectual Product,Collections (publication)
116,C1707310,Manufactured Object,Cascade Device
117,C0002045,Intellectual Product,algorithm
118,C1552645,Quantitative Concept,exponential
119,C0597198,Individual Behavior,Performance
120,C0010176,Governmental or Regulatory Activity,Cost Control
121,C0679823,Functional Concept,Participation
122,C0042295,Qualitative Concept,Values
123,C0687676,Temporal Concept,Post
124,C0205145,Spatial Concept,Site
125,C0043038,Geographic Area,Washington state
126,C0023226,Population Group,Legal Guardians
127,C1571886,Intellectual Product,Entity Name Part Qualifier - professional
128,C0037775,Spatial Concept,Spatial Distribution
129,C2718045,Activity,Blogging
130,C0150775,Population Group,Social Networks
131,C0277550,Disease or Syndrome,Endemic Diseases
132,C0033373,"Amino Acid, Peptide, or Protein",Prolactin Release-Inhibiting Hormone
133,C0870071,Research Activity,Modeling
134,C0231448,Functional Concept,Extension
135,C3539655,Intellectual Product,CDISC Findings Class
136,C0036690,Disease or Syndrome,Septicemia
137,C0020255,Disease or Syndrome,Hydrocephalus
138,C1875723,Food,REGAIN
139,C1274040,Functional Concept,Result
140,C0179199,Medical Device,"Balance, device"
141,C0026565,Quantitative Concept,Mortality Vital Statistics
142,C0037455,Organization,Societies
143,C0004793,Nucleotide Sequence,Base Sequence
144,C0678594,Spatial Concept,Structure
145,C0003062,Animal,Animals
146,C0947630,Laboratory Procedure,Scientific Study
147,C0008115,Geographic Area,China
148,C0034386,Therapeutic or Preventive Procedure,Quarantine
149,C0008848,Geographic Area,Cities
150,C0043237,Health Care Related Organization,World Health Organization
151,C0439228,Temporal Concept,day
152,C0011900,Diagnostic Procedure,Diagnosis
153,C0014507,Biomedical Occupation or Discipline,Epidemiology
154,C0521095,Qualitative Concept,Determined by
155,C0237820,Activity,Recovery - action
156,C0025320,Physiologic Function,Menopause
157,C0025663,Intellectual Product,Methods
158,C0242456,Intellectual Product,Policy
159,C1704711,Functional Concept,Distribution
160,C1514821,Health Care Activity,Registration
161,C0205276,Spatial Concept,Local
162,C0683312,Intellectual Product,Categories
163,C1555306,Idea or Concept,proposal - intent
164,C0376554,Intellectual Product,Knowledge
165,C0007294,Finding,Genetic Carriers
166,C1706214,Activity,Creation
167,C3899593,Intellectual Product,Clinical Trial Data Privacy Agreement
168,C0683757,Organization,Company (organization)
169,C0003625,Plant,Genus Malus
170,C0220819,Manufactured Object,device aspects
171,C0027569,Geographic Area,Neighborhood
172,C0002191,"Amino Acid, Peptide, or Protein",alpha 1-antitrypsin
173,C0032659,Quantitative Concept,geographic population
174,C1185625,Intellectual Product,Anatomical compartments
175,C0242781,Pathologic Function,disease transmission
176,C0549178,Idea or Concept,Continuous
177,C0994894,Medical Device,Patch Dosage Form
178,C0442805,Functional Concept,Increase
179,C4704761,Machine Activity,Deep Learning
180,C0039224,Manufactured Object,Table - furniture
181,C1516908,Professional or Occupational Group,Epidemiologists
182,C1443844,Finding,Mode of transmission
183,C0033107,Qualitative Concept,prevention & control
184,C0037420,Finding,Social Interaction
185,C0001779,Organism Attribute,Age
186,C0242808,Qualitative Concept,Pliability
187,C0282443,Intellectual Product,Review [Publication Type]
188,C0006002,Intellectual Product,Books
189,C0220898,Organism Attribute,Predisposition -- attribute
190,C0449445,Spatial Concept,Approach
191,C2936391,Qualitative Concept,"Community Structure, Ecological"
192,C1553702,Population Group,Neighbor
193,C1514960,Occupation or Discipline,Statistical Mechanics
194,C0006104,"Body Part, Organ, or Organ Component",Brain
195,C0275524,Disease or Syndrome,Coinfection
196,C3273177,Intellectual Product,Internet Mobile Technology
197,C0337664,Finding,Smoker
198,C1519383,Individual Behavior,Smoking Behaviors
199,C1264633,Quantitative Concept,Fraction of
200,C0205177,Qualitative Concept,Active
201,C1709854,Population Group,Recipient
202,C1260953,Functional Concept,Suppressed
203,C0332289,Functional Concept,Transmitted by
204,C0598197,Natural Phenomenon or Process,contagion
205,C0678686,Physiologic Function,Dormancy
206,C0439064,Quantitative Concept,Numerous
207,C0004268,Mental Process,Attention
208,C0086047,Human-caused Phenomenon or Process,Conferences
209,C1254351,Pharmacologic Substance,Pharmacologic Substance
210,C0011209,Therapeutic or Preventive Procedure,Obstetric Delivery
211,C0015219,Genetic Function,Biological Evolution
212,C0205391,Spatial Concept,Widespread
213,C0004448,Mental Process,Awareness
214,C2587213,Functional Concept,Control function
215,C0035201,Idea or Concept,Resources
216,C0221189,Daily or Recreational Activity,Jumping
217,C0026590,Social Behavior,Mother-Child Relations
218,C1519814,Qualitative Concept,Update
219,C0016997,Intellectual Product,Game Theory
220,C0205410,Qualitative Concept,Sufficient
221,C0227098,"Body Part, Organ, or Organ Component",Mandibular right first primary molar
222,C0021968,Biologically Active Substance,iodine
223,C0027468,Health Care Related Organization,United States National Institutes of Health
224,C0450363,Spatial Concept,Three-dimensional
225,C0449432,Manufactured Object,Component object
226,C0012683,Therapeutic or Preventive Procedure,Disinfection
227,C1709701,Conceptual Entity,Project
228,C0026538,Finding,Morbidity - disease rate
229,C0040223,Temporal Concept,Time
230,C0562324,Manufactured Object,Church (environment)
231,C0022773,Geographic Area,South Korea
232,C4745084,Finding,Medical Condition
233,C0392760,Functional Concept,Affecting
234,C0017446,Geographic Area,Geographic Locations
235,C0026606,Daily or Recreational Activity,Physical activity
236,C0162425,Mental Process,Intention - mental process
237,C2752975,Individual Behavior,oral incubation
238,C1511495,Governmental or Regulatory Activity,Continuing Umbrella of Research Experience for Underserved Minorities (CURE) Program
239,C0336721,Manufactured Object,Arrow
240,C0087130,Finding,Uncertainty
241,C0441621,Diagnostic Procedure,Sampling - Surgical action
242,C0024867,Therapeutic or Preventive Procedure,Mass Chest X-Ray
243,C0681890,Qualitative Concept,predictive
244,C0205095,Spatial Concept,Dorsal
245,C0681814,Research Activity,research study
246,C0012652,Phenomenon or Process,Disease Outbreaks
247,C0934502,"Body Part, Organ, or Organ Component",anatomical layer
248,C0003765,"Amino Acid, Peptide, or Protein",arginine
249,C1442103,Temporal Concept,Time Difference
250,C1257900,"Nucleic Acid, Nucleoside, or Nucleotide",Colicin Plasmids
251,C0442797,Finding,Decreasing
252,C0019409,Qualitative Concept,Heterogeneity
253,C0006030,"Element, Ion, or Isotope",boron
254,C0392756,Qualitative Concept,Reduced
255,C0871935,Idea or Concept,Theory
256,C0332529,Qualitative Concept,Consistency
257,C0032821,Biologically Active Substance,potassium
258,C0001807,Individual Behavior,Aggressive behavior
259,C0876936,Intellectual Product,Mathematical Model
260,C0025361,Mental Process,Mental Processes
261,C1856053,Disease or Syndrome,Hydranencephaly with Renal Aplasia-Dysplasia
262,C0684320,Pathologic Function,Disease regression
263,C0441833,Idea or Concept,Groups
264,C0009932,Group,Control Groups
265,C0038215,Occupation or Discipline,Science of Statistics
266,C0025914,Mammal,House mice
267,C0268059,Disease or Syndrome,Neonatal hemochromatosis
268,C0410529,Congenital Abnormality,Hypochondroplasia (disorder)
269,C0443288,Functional Concept,Restricted
270,C1158478,Genetic Function,DNA Integration
271,C0332157,Qualitative Concept,Exposure to
272,C0021797,Social Behavior,Interpersonal Relations
273,C0026093,Population Group,Migrants
274,C0162443,Intellectual Product,Journal
275,C1521991,Qualitative Concept,Molecular
276,C3887511,Idea or Concept,Evidence
277,C0032850,Bird,"Fowls, Domestic"
278,C0012984,Mammal,Canis familiaris
279,C0022771,Geographic Area,Korea
280,C0085437,Disease or Syndrome,"Meningitis, Bacterial"
281,C0026018,Laboratory Procedure,Microscopy
282,C0007806,Body Substance,Cerebrospinal Fluid
283,C0796085,Disease or Syndrome,Nance-Horan syndrome
284,C0009462,Group,Community
285,C0683368,Functional Concept,Symptoms aspect
286,C0019158,Disease or Syndrome,Hepatitis
287,C0870432,Functional Concept,Display - arrangement
288,C0020964,Organ or Tissue Function,Immunity
289,C0678209,Physiologic Function,Adaptive Immunity
290,C2076600,Disease or Syndrome,Influenza due to Influenza A virus subtype H1N1
291,C1881379,Conceptual Entity,Lineage
292,C0004927,Behavior,Behavior
293,C0337008,Natural Phenomenon or Process,Low humidity
294,C0005903,Organism Attribute,Body Temperature
295,C0036397,Occupation or Discipline,Science
296,C0039421,Occupation or Discipline,Technology
297,C1709450,Qualitative Concept,Pair
298,C1762617,Qualitative Concept,Weak
299,C0450429,Spatial Concept,Location
300,C0023866,Intellectual Product,Literature
301,C0231800,Organism Function,"Expiration, function"
302,C0009622,Manufactured Object,Computers
303,C1136360,Manufactured Object,Mobile Phone
304,C0042776,Virus,Virus
305,C0700148,Pathologic Function,Congestion
306,C0087111,Therapeutic or Preventive Procedure,Therapeutic procedure
307,C1705285,Cell or Molecular Dysfunction,Mutation Abnormality
308,C0015127,Functional Concept,Etiology aspects
309,C1415545,Gene or Genome,HINT1 gene
310,C0870077,Intellectual Product,Rule (guideline)
311,C0086323,Natural Phenomenon or Process,G Force
312,C0022326,Geographic Area,Ivory Coast
313,C0681916,Quantitative Concept,Statistical Estimation
314,C1269955,Neoplastic Process,Tumor Cell Invasion
315,C0687759,Population Group,traveler
316,C1710548,Qualitative Concept,Unique
317,C0243132,Functional Concept,occurrence characteristics
318,C0870705,Idea or Concept,control act - information
319,C1806781,Quantitative Concept,Short
320,C1257890,Population Group,Population Group
321,C1511276,Spatial Concept,Bottom
322,C0599161,Molecular Biology Research Technique,Reverse Transcriptase Polymerase Chain Reaction
323,C2700280,Population Group,World
324,C0018026,Pharmacologic Substance,gold
325,C0023668,Geographic Area,Liechtenstein
326,C0007592,Cell Component,Cell Extracts
327,C1696103,Intellectual Product,image - dosage form
328,C0028778,Pathologic Function,Obstruction
329,C2825812,Activity,Deploy
330,C1707455,Activity,Comparison
331,C0011195,Disease or Syndrome,Dejerine-Sottas Disease (disorder)
332,C1707520,Qualitative Concept,Correlation
333,C0009244,Therapeutic or Preventive Procedure,Cognitive Therapy
334,C0007595,Cell Function,Cell Growth
335,C0018270,Organism Function,Growth
336,C0037633,Substance,Solutions
337,C1285553,Functional Concept,Interprets
338,C0449381,Finding,Observation parameter
339,C0022885,Laboratory Procedure,Laboratory Procedures
340,C0260194,Professional or Occupational Group,radiologist
341,C0024109,"Body Part, Organ, or Organ Component",Lung
342,C1446409,Finding,Positive
343,C1527415,Functional Concept,Oral Route of Drug administration
344,C0242485,Functional Concept,Measurement
345,C0008976,Research Activity,Clinical Trials
346,C0150312,Finding,Present
347,C0000768,Congenital Abnormality,Congenital Abnormality
348,C0032227,Disease or Syndrome,Pleural effusion disorder
349,C0521115,Temporal Concept,Simultaneous
350,C0450048,Population Group,Passenger
351,C1948061,Qualitative Concept,Every (qualifier)
352,C0439828,Qualitative Concept,Variable (uniformity)
353,C0007637,Cell Component,Inclusion Bodies
354,C0079946,Classification,National origin
355,C0021149,Quantitative Concept,Incidence
356,C0079220,Spatial Concept,Destination
357,C0332479,Spatial Concept,Shapes
358,C0220825,Health Care Activity,Evaluation
359,C0392747,Functional Concept,Changing
360,C0008946,Natural Phenomenon or Process,Climate
361,C0005528,Cell Function,Biological Transport
362,C0009609,Machine Activity,Computer simulation
363,C1720529,Intellectual Product,Constant - dosing instruction fragment
364,C0233929,Body Substance,Emission - Male genitalia finding
365,C0001873,Environmental Effect of Humans,Air Pollution
366,C1414404,Gene or Genome,ENO2 gene
367,C0012656,Animal,Disease Vectors
368,C0205448,Quantitative Concept,Two
369,C1709707,Quantitative Concept,Proportion
370,C0205216,Quantitative Concept,Decreased
371,C0282411,Intellectual Product,Published Comment
372,C0026882,Genetic Function,Mutation
373,C1948062,Manufactured Object,Copy (object)
374,C0450254,Organism,Pathogenic organism
375,C0332575,Finding,Redness
376,C1260957,Qualitative Concept,Blue color
377,C0005680,Population Group,Black race
378,C0008120,Language,Chinese Language
379,C0022277,Geographic Area,Italy
380,C0037173,Geographic Area,Singapore
381,C2986483,Temporal Concept,Doubling Time
382,C0007928,Geographic Area,Chad
383,C0037932,Finding,Curvature of spine
384,C1880022,Activity,Characterization
385,C0026438,Mammal,Cercopithecus aethiops
386,C0023636,Regulation or Law,License
387,C0042774,Cell Function,Virus Replication
388,C0021467,Mental Process,Psychological inhibition
389,C0079189,Immunologic Factor,cytokine
390,C1155266,Pathologic Function,Inflammatory Response
391,C0302523,Research Activity,Observation in research
392,C0003015,Pharmacologic Substance,Angiotensin-Converting Enzyme Inhibitors
393,C0066563,Receptor,Mineralocorticoid Receptor
394,C0071097,Organic Chemical,pioglitazone
395,C0020740,Organic Chemical,ibuprofen
396,C1704259,Molecular Function,Biochemical Pathway
397,C0870186,Mental Process,Avoidance
398,C1439284,Gene or Genome,AGTR1 gene
399,C0332206,Functional Concept,Blocking
400,C0007004,Organic Chemical,Carbohydrates
401,C0336789,Manufactured Object,Combine
402,C0039798,Functional Concept,therapeutic aspects
403,C1175175,Disease or Syndrome,Severe Acute Respiratory Syndrome
404,C0040405,Diagnostic Procedure,X-Ray Computed Tomography
405,C0034571,Functional Concept,roentgenographic
406,C0819757,Tissue,Structure of parenchyma of lung
407,C4551823,Functional Concept,instruments
408,C3469597,Therapeutic or Preventive Procedure,Administration of medication
409,C0015733,Body Substance,Feces
410,C0150369,Health Care Activity,Preventive monitoring
411,C0184661,Therapeutic or Preventive Procedure,Interventional procedure
412,C0599894,Cell Function,cellular targeting
413,C0680880,Organization,profit
414,C0681493,Intellectual Product,Graph - visual representation
415,C1439852,Laboratory Procedure,Incubated
416,C0027362,Age Group,Human Age Group
417,C0871161,Qualitative Concept,Property (attribute)
418,C2348974,Manufactured Object,Histogram
419,C0205265,Temporal Concept,Initially
420,C0034656,Research Activity,Randomization
421,C2825570,Quantitative Concept,Estimation Method
422,C0032098,Plant,Plants
423,C0033268,Occupational Activity,production
424,C0022341,Geographic Area,Japan
425,C0040371,Geographic Area,Tokyo
426,C0018340,"Nucleic Acid, Nucleoside, or Nucleotide",Guanosine Diphosphate
427,C0003617,"Body Part, Organ, or Organ Component",Appendix
428,C0205233,Qualitative Concept,Firm
429,C1707496,Population Group,Consumer
430,C2981734,Conceptual Entity,Customer
431,C0038848,Manufactured Object,Manufactured Supplies
432,C1881065,Qualitative Concept,Homogeneity
433,C1513822,Professional or Occupational Group,Consortium or Network
434,C0332287,Functional Concept,In addition to
435,C3831015,Qualitative Concept,Convenient
436,C0023401,"Amino Acid, Peptide, or Protein",leucine
437,C1704639,Manufactured Object,Matrix Component of Device
438,C0037412,notype,Social Distance
439,C0678367,Organization,public entity
440,C0162579,Spatial Concept,Workplace
441,C0036375,Organization,School
442,C0332501,Spatial Concept,Spherical shape
443,C1704240,Quantitative Concept,Magnitude
444,C1880483,Quantitative Concept,Eigenvalue
445,C0040722,Idea or Concept,disease transmission qualifier
446,C0871208,Activity,Rating (action)
447,C1184743,"Body Part, Organ, or Organ Component",bony process
448,C0849355,Qualitative Concept,Removed
449,C4684574,Quantitative Concept,Bayesian Statistics
450,C0679138,Idea or Concept,Expectations
451,C1881303,Intellectual Product,Kernel
452,C1552859,Entity,Subsection
453,C1880371,Qualitative Concept,Diversity
454,C0439801,Functional Concept,Limited (extensiveness)
455,C0439656,Individual Behavior,Voluntary
456,C0001593,Social Behavior,Adoption
457,C3658310,Intellectual Product,Mobile Applications
458,C0611285,"Amino Acid, Peptide, or Protein","APP protein, human"
459,C1301820,Functional Concept,Obtain
460,C1265875,Acquired Abnormality,Disintegration (morphologic abnormality)
461,C2699744,Conceptual Entity,Symmetric Relationship
462,C0205390,Temporal Concept,Phase
463,C0041703,Geographic Area,United States
464,C0444454,Spatial Concept,Access
465,C1708728,Intellectual Product,Event Log
466,C1704784,Population Group,Owner
467,C0457083,Functional Concept,Usage
468,C1272684,Qualitative Concept,Accepted
469,C0337611,Population Group,contact person
470,C1553421,Functional Concept,Sender
471,C3494413,Phenomenon or Process,Plant Dispersal
472,C0449416,Finding,Source
473,C3179065,Intellectual Product,Social Media
474,C1457887,Sign or Symptom,Symptoms
475,C0013404,Sign or Symptom,Dyspnea
476,C0336648,Medical Device,Alarm device
477,C1527305,Mental Process,Feelings
478,C0424215,Mental Process,Sense of identity (observable entity)
479,C0027489,Machine Activity,Natural Language Processing
480,C0870951,Intellectual Product,Neural Network Simulation
481,C1171218,Health Care Activity,Social network analysis
482,C0679201,Mental Process,Inference
483,C0443131,Qualitative Concept,Accurate (qualifier)
484,C1514863,Qualitative Concept,Reproducibility
485,C1708517,Conceptual Entity,Input
486,C0011298,Occupation or Discipline,Demography
487,C1265611,Quantitative Concept,Quantity
488,C0332197,Functional Concept,Absent
489,C1513872,Cell,Naive Pregerminal Center B-Lymphocyte
490,C0680844,Mental Process,estimation <subjective>
491,C0442015,Intellectual Product,Digital X-ray
492,C0205248,Qualitative Concept,Granular
493,C0231435,Functional Concept,Mobile
494,C0332196,Functional Concept,Exclude
495,C0038203,Machine Activity,Statistical Computing
496,C2347976,Quantitative Concept,Root Mean Square
497,C1563875,Organic Chemical,Arima (chemical)
498,C0205195,Qualitative Concept,Combined
499,C1701901,Qualitative Concept,Conditional
500,C0205120,Spatial Concept,Square shape
501,C0806909,Quantitative Concept,Maximum
502,C1609982,Qualitative Concept,Residual
503,C0202823,Diagnostic Procedure,Chest CT
504,C0184532,Organism Function,Dying Process
505,C4318616,Finding,Usually Need Help from Another Person for Arising
506,C0237753,Quantitative Concept,Numbers
507,C0037747,Geographic Area,Spain
508,C1615608,Phenomenon or Process,Pandemics
509,C0001563,Therapeutic or Preventive Procedure,"Administration, Oral"
510,C2347387,Qualitative Concept,Official
511,C0038951,Intellectual Product,Surveys
512,C1272753,Idea or Concept,Institution (social concept)
513,C0041740,Organization,Universities
514,C0027976,Geographic Area,New York (geographic location)
515,C3850013,Health Care Related Organization,Organisation for Economic Co-Operation and Development
516,C1417835,Gene or Genome,NR3C2 gene
517,C0018896,Social Behavior,Helping Behavior
518,C0005005,Geographic Area,Benin Republic
519,C0332173,Temporal Concept,Daily
520,C0016674,Geographic Area,France
521,C0037750,Language,Spanish Language
522,C0014279,Occupation or Discipline,Engineering
523,C1880177,Activity,Contribution
524,C0038995,Geographic Area,Sweden
525,C0034033,Governmental or Regulatory Activity,Public Policy
526,C1705821,Intellectual Product,Timeline
527,C0038996,Language,Swedish language
528,C0024779,Intellectual Product,Map
529,C1320928,Professional or Occupational Group,Resident (physician)
530,C0039457,Manufactured Object,Telephone
531,C0392360,Idea or Concept,Indication of (contextual qualifier)
532,C1441506,Activity,Calculation
533,C0237101,Social Behavior,Social interaction finding
534,C2986575,Activity,Connect (action)
535,C0009393,Qualitative Concept,Color
536,C0205119,Conceptual Entity,Triangular
537,C1514756,Qualitative Concept,Receive
538,C0019907,Geographic Area,Hong Kong
539,C3714514,Pathologic Function,Infection
540,C0085624,Sign or Symptom,Burning sensation
541,C1279919,Temporal Concept,Early
542,C0015967,Sign or Symptom,Fever
543,C0231528,Sign or Symptom,Myalgia
544,C0205082,Finding,Severe (severity modifier)
545,C0231218,Sign or Symptom,Malaise
546,C0850149,Sign or Symptom,Dry cough
547,C0242429,Sign or Symptom,Sore Throat
548,C0042210,Immunologic Factor,Vaccines
549,C0027627,Neoplastic Process,Neoplasm Metastasis
550,C3242379,Intellectual Product,Assumed
551,C1554079,Idea or Concept,ignored
552,C0035253,Daily or Recreational Activity,Rest
553,C0014406,Spatial Concept,Environment
554,C0542277,Finding,Cleans drug injection equipment finding
555,C0599220,"Amino Acid, Peptide, or Protein",Protein Subunits
556,C0021699,"Amino Acid, Peptide, or Protein",Integral Membrane Proteins
557,C0018367,Geographic Area,Guatemala
558,C2347947,Quantitative Concept,Reliability (characteristic)
559,C0441841,Intellectual Product,Group G
560,C0449243,Temporal Concept,Timing
561,C0886296,Health Care Activity,Nursing interventions
562,C0205419,Qualitative Concept,Variant
563,C1511559,Qualitative Concept,Cumulative
564,C0547044,Qualitative Concept,Smaller
565,C0180860,Manufactured Object,Filters
566,C0596539,Natural Phenomenon or Process,evaporation
567,C0010453,Idea or Concept,Anthropological Culture
568,C0006933,Anatomical Structure,Capsid
569,C0017278,"Amino Acid, Peptide, or Protein","Gene Products, env"
570,C0038644,Disease or Syndrome,Sudden infant death syndrome
571,C0949366,Population Group,Vulnerable Populations
572,C0812409,Quantitative Concept,Gradient
573,C0020309,Natural Phenomenon or Process,Hydrostatic Pressure
574,C0205168,Qualitative Concept,Thin (qualifier value)
575,C0086296,Manufactured Object,film (photographic)
576,C1710236,Manufactured Object,Substrate Device
577,C0205344,Qualitative Concept,Absolute
578,C2983603,Temporal Concept,Experiment End Date
579,C0001712,Manufactured Object,Aerosols
580,C1280412,Qualitative Concept,Thick
581,C0185125,Therapeutic or Preventive Procedure,Application procedure
582,C0205409,Functional Concept,Isolated
583,C0018696,Health Care Related Organization,Health Care Systems
584,C1521797,Natural Phenomenon or Process,transmission process
585,C0205554,Functional Concept,Automated (qualifier value)
586,C0079161,Health Care Activity,Infectious Disease Contact Tracing
587,C0033105,Quantitative Concept,Statistical Prevalence
588,C0275522,Disease or Syndrome,Asymptomatic Infections
589,C0332583,Qualitative Concept,Green color
590,C0440277,Food,Orange (fruit)
591,C0079809,Quantitative Concept,Measures
592,C0015264,Organism Function,Exertion
593,C0237607,Mental Process,Practice Experience
594,C1519427,Population Group,South Asian
595,C0030211,Geographic Area,Pakistan
596,C0004732,Geographic Area,Bangladesh
597,C0011750,Qualitative Concept,Developing Countries
598,C0024581,Geographic Area,Mali
599,C0336537,Manufactured Object,Robot (device)
600,C0087153,Medical Device,Ventilator - respiratory equipment
601,C0040077,"Nucleic Acid, Nucleoside, or Nucleotide",thymidine
602,C0870840,Occupational Activity,Manufacture
603,C0041714,Health Care Related Organization,United States Food and Drug Administration
604,C1521970,Qualitative Concept,Characteristics
605,C0011115,Intellectual Product,Decision Trees
606,C1510992,Quantitative Concept,Average
607,C0021135,Intellectual Product,In Vitro [Publication Type]
608,C2911648,Quantitative Concept,Multiplication
609,C0449851,Functional Concept,Techniques
610,C0470166,Intellectual Product,Message
611,C1825854,Gene or Genome,B3GALNT1 gene
612,C0013556,Occupation or Discipline,Economics
613,C0870591,Social Behavior,funerals
614,C2371608,Social Behavior,Ceremony
615,C3204335,Manufactured Object,Smartphone
616,C2981655,Governmental or Regulatory Activity,Regulatory Authority
617,C0733755,Spatial Concept,Positioning Attribute
618,C4277550,Intellectual Product,Patient Portals
619,C0085104,Medical Device,Drug Delivery Systems
620,C0237881,Quantitative Concept,Statistical Significance
621,C0204727,Therapeutic or Preventive Procedure,Isolation procedure
622,C0443239,Qualitative Concept,Interrupted
623,C1516240,Quantitative Concept,Capacity
624,C0301630,Natural Phenomenon or Process,Reduction (chemical)
625,C0020942,Activity,Immigration
626,C0025344,Organism Function,Menstruation
627,C4288557,Finding,One Activity Hour
628,C0040802,Daily or Recreational Activity,travel
629,C0442629,Manufactured Object,Airports
630,C0017262,Genetic Function,Gene Expression
631,C0557854,Occupational Activity,Services
632,C0750729,Temporal Concept,Course
633,C0020912,Machine Activity,Optical Image Reconstruction
